Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.2,-0.34,-0.06,-0.42,-0.15,-0.06,-1.06,-0.61,-0.21,-0.23,-0.07,-0.02,-0.08,0.34
1881,-0.12,-0.2,-0.03,-0.32,-0.01,-0.06,-0.8,-0.47,-0.14,-0.03,0.01,-0.06,-0.02,0.32
1882,-0.1,-0.19,-0.02,-0.25,-0.09,0.03,-1.49,-0.26,-0.02,-0.09,-0.09,0.03,0.08,0.36
1883,-0.2,-0.31,-0.1,-0.37,-0.21,-0.02,-0.42,-0.62,-0.19,-0.22,-0.21,-0.01,0,0.32
1884,-0.28,-0.43,-0.13,-0.58,-0.17,-0.12,-1.39,-0.62,-0.4,-0.18,-0.15,-0.15,-0.05,0.35
1885,-0.31,-0.42,-0.22,-0.61,-0.17,-0.2,-1.24,-0.7,-0.41,-0.1,-0.24,-0.27,-0.07,0.33
1886,-0.31,-0.39,-0.22,-0.49,-0.24,-0.2,-1.29,-0.45,-0.37,-0.23,-0.26,-0.17,-0.21,0.23
1887,-0.33,-0.37,-0.29,-0.47,-0.27,-0.27,-1.62,-0.55,-0.19,-0.21,-0.33,-0.24,-0.29,0.16
1888,-0.2,-0.23,-0.17,-0.43,0.08,-0.34,-1.47,-0.47,-0.21,0.09,0.07,-0.29,-0.38,0.11
1889,-0.11,-0.16,-0.06,-0.26,0.05,-0.17,-0.91,-0.17,-0.19,0.01,0.09,-0.15,-0.17,0.14
1890,-0.37,-0.4,-0.33,-0.45,-0.38,-0.26,-1.37,-0.44,-0.28,-0.32,-0.44,-0.15,-0.4,-0.01
1891,-0.24,-0.25,-0.24,-0.37,-0.15,-0.24,-1.36,-0.24,-0.25,-0.05,-0.26,-0.2,-0.27,0.04
1892,-0.27,-0.32,-0.22,-0.33,-0.3,-0.16,-1.42,-0.35,-0.11,-0.31,-0.3,-0.03,-0.33,0
1893,-0.3,-0.41,-0.2,-0.4,-0.4,-0.07,-0.96,-0.39,-0.29,-0.42,-0.38,0.04,-0.21,-0.03
1894,-0.31,-0.38,-0.23,-0.29,-0.39,-0.22,-1.4,-0.2,-0.08,-0.52,-0.25,-0.14,-0.31,-0.17
1895,-0.21,-0.28,-0.15,-0.35,-0.13,-0.19,-0.99,-0.38,-0.16,-0.17,-0.09,-0.2,-0.13,-0.06
1896,-0.15,-0.22,-0.08,-0.35,0.03,-0.18,-1.32,-0.36,-0.1,0,0.06,-0.15,-0.21,-0.02
1897,-0.11,-0.13,-0.1,-0.31,0.16,-0.28,-0.85,-0.31,-0.17,0.16,0.16,-0.2,-0.37,-0.01
1898,-0.28,-0.26,-0.3,-0.28,-0.27,-0.29,-1.3,-0.02,-0.19,-0.23,-0.31,-0.26,-0.3,0.03
1899,-0.16,-0.17,-0.16,-0.19,-0.13,-0.18,-1.13,0.04,-0.1,-0.12,-0.13,-0.13,-0.22,0.08
1900,-0.09,-0.05,-0.14,-0.14,0.13,-0.35,-0.66,-0.04,-0.06,0.1,0.16,-0.31,-0.38,0.07
1901,-0.15,-0.08,-0.21,-0.12,-0.06,-0.3,-0.61,-0.01,-0.06,-0.02,-0.09,-0.3,-0.26,-0.04
1902,-0.28,-0.32,-0.24,-0.52,-0.06,-0.34,-1.65,-0.41,-0.29,-0.01,-0.11,-0.27,-0.42,0.01
1903,-0.36,-0.36,-0.37,-0.44,-0.32,-0.35,-0.56,-0.31,-0.48,-0.25,-0.4,-0.37,-0.25,-0.59
1904,-0.45,-0.46,-0.44,-0.49,-0.46,-0.4,-0.42,-0.54,-0.47,-0.42,-0.51,-0.36,-0.39,-1.26
1905,-0.28,-0.28,-0.28,-0.39,-0.12,-0.38,-0.3,-0.17,-0.56,-0.11,-0.14,-0.37,-0.34,-0.38
1906,-0.23,-0.21,-0.25,-0.22,-0.21,-0.25,-0.48,0.01,-0.32,-0.18,-0.24,-0.23,-0.22,-0.66
1907,-0.4,-0.47,-0.33,-0.59,-0.34,-0.3,-0.87,-0.71,-0.44,-0.3,-0.39,-0.25,-0.31,-1.19
1908,-0.44,-0.46,-0.41,-0.49,-0.47,-0.34,-0.56,-0.52,-0.45,-0.43,-0.52,-0.31,-0.38,0.65
1909,-0.48,-0.48,-0.48,-0.49,-0.52,-0.41,-0.9,-0.52,-0.38,-0.47,-0.57,-0.38,-0.41,-0.49
